#,Venue Name,Category,City,Address,Phone,Rating,Google Place ID,Notes
1,MIDFLORIDA Credit Union Amphitheatre,Amphitheater,Tampa,"4802 US-301, Tampa, FL 33610",+1 813-740-2446,4.4,ChIJ2SRxszPPwogRXZsoxbmqmVg,"Major outdoor amphitheater; ~19,000 cap"
2,iTHINK Financial Amphitheatre,Amphitheater,West Palm Beach,"601-7 Sansburys Way, West Palm Beach, FL 33411",+1 561-795-8883,4.5,ChIJAcmTWtMo2YgRF6cgWf68cF4,Large outdoor amphitheater
3,The St. Augustine Amphitheatre,Amphitheater,St. Augustine,"1340C A1A S, St. Augustine, FL 32080",+1 904-209-0367,4.8,ChIJ-9YkRu5C3ogRD-7yl8iJj08,Beloved outdoor venue under oak trees
4,FPL Solar Amphitheater at Bayfront Park,Amphitheater,Miami,"301 Biscayne Blvd, Miami, FL 33132",+1 305-358-7550,4.5,ChIJLUCwvyC02YgRhBzAM6GyAqg,Outdoor waterfront amphitheater
5,Pompano Beach Amphitheater,Amphitheater,Pompano Beach,"1801 NE 6th St, Pompano Beach, FL 33060",+1 561-223-7231,4.7,ChIJcYgYe5kC2YgRyUatwtcUgQo,Outdoor community amphitheater
6,Mizner Park Amphitheater,Amphitheater,Boca Raton,"590 Plaza Real, Boca Raton, FL 33432",+1 561-393-7890,4.6,ChIJ__WDch3i2IgRmBTHcdj4J4E,Open-air town center amphitheater
7,Orlando Amphitheater,Amphitheater,Orlando,"4603 W Colonial Dr, Orlando, FL 32808",+1 407-295-3247,4.3,ChIJb2Fn68t554gRrVzqlpOn-hk,Florida State Fairgrounds amphitheater
8,Sunset Cove Amphitheater,Amphitheater,Boca Raton,"20405 Amphitheater Cir, Boca Raton, FL 33498",,4.7,ChIJJW2nMIEZ2YgRUX8oCF-C6Oc,Lakeside outdoor amphitheater
9,Caloosa Sound Amphitheater,Amphitheater,Fort Myers,"2101 Edwards Dr, Fort Myers, FL 33901",,4.4,ChIJq8d1LaVB24gRMWRPuYRI6BI,Waterfront outdoor amphitheater
10,The Key West Amphitheater,Amphitheater,Key West,"21 Quay Rd, Key West, FL 33040",+1 305-985-0433,4.8,ChIJ29Y-Tu-20YgR2eYgBIAht4o,Scenic coastal amphitheater
11,J. B. Coxwell Amphitheater,Amphitheater,Jacksonville,"UNF Dr., Jacksonville, FL 32224",+1 904-620-1000,4.5,ChIJt8cvKLRK5IgRU6GNb1W5apQ,UNF campus outdoor amphitheater
12,Seawalk Pavilion,Amphitheater,Jacksonville Beach,"75 1st St N, Jacksonville Beach, FL 32250",,4.7,ChIJdZXgVAdJ5IgRLXl4sySd3dw,Beachside open-air pavilion
13,Benchmark International Arena (Amalie),Arena,Tampa,"401 Channelside Dr, Tampa, FL 33602",+1 813-301-6500,4.6,ChIJSV2_Mo3EwogRc8CZwwOroSs,"Home of Tampa Bay Lightning; ~19,000 cap"
14,Kaseya Center,Arena,Miami,"601 Biscayne Blvd, Miami, FL 33132",+1 786-777-1000,4.7,ChIJlZFyCaC22YgRbFtPKFIFrRM,"Home of Miami Heat; ~20,000 cap"
15,Kia Center,Arena,Orlando,"400 W Church St, Orlando, FL 32801",+1 407-440-7900,4.6,ChIJVcr7Ufp654gRkJGTJZILyfc,"Home of Orlando Magic; ~20,000 cap"
16,Amerant Bank Arena,Arena,Sunrise,"1 Panther Pkwy, Sunrise, FL 33323",+1 954-835-7000,4.6,ChIJLTGXWhoJ2YgRrlDpr7m7cjI,"Home of Florida Panthers; ~20,000 cap"
17,Yuengling Center,Arena,Tampa,"12499 USF Bull Run Drive, Tampa, FL 33617",+1 813-974-3111,4.5,ChIJyV2gRL7HwogRhSk2mi2gmpQ,"USF multi-purpose arena; ~10,000 cap"
18,Addition Financial Arena,Arena,Orlando,"12777 Gemini Blvd N, Orlando, FL 32816",+1 407-823-3070,4.5,ChIJ3_gwt1po54gRoA1jiTOccCw,"UCF arena; ~10,000 cap"
19,VyStar Veterans Memorial Arena,Arena,Jacksonville,"300 A Philip Randolph Blvd, Jacksonville, FL 32202",+1 904-630-3900,4.6,ChIJn4mWo-G25YgR9Ng6alLqOms,"~15,000 cap; concerts & sports"
20,Hertz Arena,Arena,Estero,"11000 Everblades Parkway, Estero, FL 33928",+1 239-948-7825,4.4,ChIJk0kPNjUR24gRSUb8G7Hzb3o,"Home of Florida Everblades; ~8,000 cap"
21,Donald L. Tucker Civic Center,Arena,Tallahassee,"505 W Pensacola St, Tallahassee, FL 32301",+1 850-644-7469,4.4,ChIJNWvmiW317IgRqRnUaywb6vY,FSU arena & multi-use civic center
22,George Jenkins Arena,Arena,Lakeland,"701 W Lime St, Lakeland, FL 33815",+1 863-834-8100,4.4,ChIJ07Vc6DQ53YgRczIIP4Iz1jE,City-run smaller arena
23,Suncoast Credit Union Arena,Arena,Fort Myers,"13351 FSW Pkwy, Fort Myers, FL 33919",+1 800-440-7469,4.4,ChIJ6bghX-s_24gRNBZPdUc8cX4,FGCU on-campus arena
24,Wayfair Arena,Arena,Medley,"7321 NW 75th St, Medley, FL 33166",,4.7,ChIJpVR_MwC72YgRERggd-vi5G0,Home of Unrivaled 3x3 basketball
25,Wide World Of Sports Cheer Arena,Arena,Kissimmee,"Kissimmee, FL 34747",,4.7,ChIJNbFWeSF_3YgRIT3yV5qJqy0,Disney ESPN WWoS arena
26,AdventHealth Arena at ESPN Wide World of Sports,Arena,Kissimmee,"700 S Victory Way, Kissimmee, FL 34747",+1 407-939-5277,4.6,ChIJfa7-rLt_3YgREtjQLiVHKzc,Disney sports event arena
27,Hard Rock Stadium,Stadium,Miami Gardens,"347 Don Shula Dr, Miami Gardens, FL 33056",+1 305-943-8000,4.6,ChIJqfO1lwSv2YgR2_kLxpThFVg,"Home of Miami Dolphins; ~65,000 cap"
28,Raymond James Stadium,Stadium,Tampa,"4201 N Dale Mabry Hwy, Tampa, FL 33607",+1 813-350-6500,4.5,ChIJzyiU3LjDwogR3_P87TdTzcE,"Home of Tampa Bay Buccaneers; ~65,000 cap"
29,EverBank Stadium,Stadium,Jacksonville,"1 EverBank Stadium Dr, Jacksonville, FL 32202",+1 904-633-6100,4.5,ChIJj9Q15qdJ5IgRuuVSpmAtt_k,"Home of Jacksonville Jaguars; ~67,000 cap"
30,Inter & Co Stadium,Stadium,Orlando,"655 W Church St, Orlando, FL 32805",+1 407-480-4702,4.7,ChIJLfUtmFV654gRqMF4MQ2HX88,Home of Orlando City SC
31,Doak S. Campbell Stadium,Stadium,Tallahassee,"403 Stadium Dr, Tallahassee, FL 32304",,4.7,ChIJMRJAKhv17IgR4H_rTH8OxH8,"FSU football stadium; ~79,000 cap"
32,Bragg Memorial Stadium,Stadium,Tallahassee,"Tallahassee, FL 32307",+1 850-599-3000,4.6,ChIJz-Jm4z_17IgRXUGyRdtY8iw,FAMU football stadium
33,Tropicana Field,Stadium,St. Petersburg,"1 Tropicana Dr., St. Petersburg, FL 33705",+1 727-825-3137,4.4,ChIJkXdv95vhwogR3e84WZCqrJ4,"Home of Tampa Bay Rays; ~25,000 cap"
34,George M. Steinbrenner Field,Stadium,Tampa,"1 Steinbrenner Dr, Tampa, FL 33614",+1 813-875-7753,4.7,ChIJKwWA3sfDwogRw2ERUbKhY9k,"Yankees spring training; ~11,000 cap"
35,Ed Smith Stadium,Stadium,Sarasota,"2700 12th St, Sarasota, FL 34237",+1 941-893-6300,4.7,ChIJr7VRFIBAw4gRrH2zGqPb8Zg,Baltimore Orioles spring training
36,Roger Dean Chevrolet Stadium,Stadium,Jupiter,"4751 Main St, Jupiter, FL 33458",+1 561-775-1818,4.7,ChIJt7UOfJTV3ogRT-FI0wt2J_w,Cardinals & Marlins spring training
37,Daytona International Speedway,Stadium,Daytona Beach,"1801 W International Speedway Blvd, Daytona Beach, FL 32114",+1 800-748-7467,4.7,ChIJk4XLpEnZ5ogRl8zItcDGhxM,"NASCAR superspeedway; ~100,000 cap"
38,Jackie Robinson Ballpark,Stadium,Daytona Beach,"105 E Orange Ave, Daytona Beach, FL 32114",+1 386-257-3172,4.7,ChIJ8y3TXCfa5ogRAeeirBYwXAA,Historic minor league ballpark
39,Lee Health Sports Complex,Stadium,Fort Myers,"14100 6 Mile Cypress Pkwy, Fort Myers, FL 33912",+1 239-533-7695,4.7,ChIJCUKX2RQV24gRBV6IMDN8KsI,Minnesota Twins spring training
40,Historic Sanford Memorial Stadium,Stadium,Sanford,"1201 Mellonville Ave, Sanford, FL 32771",+1 407-688-5000,4.7,ChIJ1VhJgX4T54gRZ3vOSQ6RHmA,Historic minor league ballpark
