team_name,tier,league,website
Birmingham Stallions,UFL,United Football League,https://www.theufl.com/teams/birmingham
Columbus Aviators,UFL,United Football League,https://www.theufl.com/teams/columbus
Dallas Renegades,UFL,United Football League,https://www.theufl.com/teams/dallas
DC Defenders,UFL,United Football League,https://www.theufl.com/teams/dc
Houston Gamblers,UFL,United Football League,https://www.theufl.com/teams/houston
Louisville Kings,UFL,United Football League,https://www.theufl.com/teams/louisville
Orlando Storm,UFL,United Football League,https://www.theufl.com/teams/orlando
St. Louis Battlehawks,UFL,United Football League,https://www.theufl.com/teams/st-louis
Arizona Rattlers,IFL,Indoor Football League,https://azrattlers.com/
Fishers Freight,IFL,Indoor Football League,https://fishersfreightfootball.com/
Green Bay Blizzard,IFL,Indoor Football League,https://goifl.com/sports/fball/2026/teams
Iowa Barnstormers,IFL,Indoor Football League,https://www.iowabarnstormers.com/
Jacksonville Sharks,IFL,Indoor Football League,https://www.jaxsharks.com/
NAZ Wranglers,IFL,Indoor Football League,https://goifl.com/sports/fball/2026/teams
New Mexico Chupacabras,IFL,Indoor Football League,https://goifl.com/sports/fball/2026/teams
Orlando Pirates,IFL,Indoor Football League,https://goifl.com/sports/fball/2026/teams
Quad City Steamwheelers,IFL,Indoor Football League,https://www.steamwheelers.com/
San Antonio Gunslingers,IFL,Indoor Football League,https://www.sanantoniogunslingers.com/
San Diego Strike Force,IFL,Indoor Football League,https://sdstrikeforce.com/
Tucson Sugar Skulls,IFL,Indoor Football League,https://www.sugarskullsfootball.com/
Tulsa Oilers,IFL,Indoor Football League,https://goifl.com/sports/fball/2026/teams
Vegas Knight Hawks,IFL,Indoor Football League,https://goifl.com/sports/fball/2026/teams
Amarillo Warbirds,NAL,National Arena League,https://www.thenationalarenaleague.com/
Colorado Spartans,NAL,National Arena League,https://www.thenationalarenaleague.com/
Dallas Bulls,NAL,National Arena League,https://www.thenationalarenaleague.com/
Louisiana Rouxgaroux,NAL,National Arena League,https://www.thenationalarenaleague.com/
Omaha Beef,NAL,National Arena League,https://www.thenationalarenaleague.com/
Pueblo Punishers,NAL,National Arena League,https://www.thenationalarenaleague.com/
Salina Liberty,NAL,National Arena League,https://www.thenationalarenaleague.com/
Sioux City Bandits,NAL,National Arena League,https://www.thenationalarenaleague.com/
Southwest Kansas Storm,NAL,National Arena League,https://www.thenationalarenaleague.com/
Arizona Cardinals,NFL,National Football League,https://www.azcardinals.com/
Atlanta Falcons,NFL,National Football League,https://www.atlantafalcons.com/
Baltimore Ravens,NFL,National Football League,https://www.baltimoreravens.com/
Buffalo Bills,NFL,National Football League,https://www.buffalobills.com/
Carolina Panthers,NFL,National Football League,https://www.panthers.com/
Chicago Bears,NFL,National Football League,https://www.chicagobears.com/
Cincinnati Bengals,NFL,National Football League,https://www.bengals.com/
Cleveland Browns,NFL,National Football League,https://www.clevelandbrowns.com/
Dallas Cowboys,NFL,National Football League,https://www.dallascowboys.com/
Denver Broncos,NFL,National Football League,https://www.denverbroncos.com/
Detroit Lions,NFL,National Football League,https://www.detroitlions.com/
Green Bay Packers,NFL,National Football League,https://www.packers.com/
Houston Texans,NFL,National Football League,https://www.houstontexans.com/
Indianapolis Colts,NFL,National Football League,https://www.colts.com/
Jacksonville Jaguars,NFL,National Football League,https://www.jaguars.com/
Kansas City Chiefs,NFL,National Football League,https://www.chiefs.com/
Las Vegas Raiders,NFL,National Football League,https://www.raiders.com/
Los Angeles Chargers,NFL,National Football League,https://www.chargers.com/
Los Angeles Rams,NFL,National Football League,https://www.therams.com/
Miami Dolphins,NFL,National Football League,https://www.miamidolphins.com/
Minnesota Vikings,NFL,National Football League,https://www.vikings.com/
New England Patriots,NFL,National Football League,https://www.patriots.com/
New Orleans Saints,NFL,National Football League,https://www.neworleanssaints.com/
New York Giants,NFL,National Football League,https://www.giants.com/
New York Jets,NFL,National Football League,https://www.newyorkjets.com/
Philadelphia Eagles,NFL,National Football League,https://www.philadelphiaeagles.com/
Pittsburgh Steelers,NFL,National Football League,https://www.steelers.com/
San Francisco 49ers,NFL,National Football League,https://www.49ers.com/
Seattle Seahawks,NFL,National Football League,https://www.seahawks.com/
Tampa Bay Buccaneers,NFL,National Football League,https://www.buccaneers.com/
Tennessee Titans,NFL,National Football League,https://www.tennesseetitans.com/
Washington Commanders,NFL,National Football League,https://www.commanders.com/
