segment,region,company_name,website,email,phone,target_title,source_url,notes,extra_col_1,extra_col_2,extra_col_3,extra_col_4,extra_col_5,extra_col_6,extra_col_7,extra_col_8,extra_col_9,extra_col_10,extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23,extra_col_24,extra_col_25,extra_col_26,extra_col_27,extra_col_28,extra_col_29,extra_col_30,extra_col_31,extra_col_32,extra_col_33,extra_col_34,extra_col_35,extra_col_36,extra_col_37,extra_col_38,extra_col_39,extra_col_40,extra_col_41,business_category,business_type,business_group
Event planners,Midwest,"""a little DAB'll do ya!""",https://alittledablldoya.weebly.com/,,3176475115,Founder,https://www.eventective.com/indianapolis-in/-a-little-dab-ll-do-ya--705379.html,Direct profile data from Eventective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
Event planners,Midwest,"""a little DAB'll do ya!""",https://alittledablldoya.weebly.com/,,3176475115,Event Planner,https://www.eventective.com/indianapolis-in/-a-little-dab-ll-do-ya--705379.html,Direct profile data from Eventective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
Event planners,Midwest,"""a little DAB'll do ya!""",https://alittledablldoya.weebly.com/,,3176475115,Director of Events,https://www.eventective.com/indianapolis-in/-a-little-dab-ll-do-ya--705379.html,Direct profile data from Eventective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
Event planners,Midwest,"""a little DAB'll do ya!""",https://alittledablldoya.weebly.com/,,3176475115,Creative Director,https://www.eventective.com/indianapolis-in/-a-little-dab-ll-do-ya--705379.html,Direct profile data from Eventective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
Event planners,Midwest,"""a little DAB'll do ya!""",https://alittledablldoya.weebly.com/,,3176475115,Managing Partner,https://www.eventective.com/indianapolis-in/-a-little-dab-ll-do-ya--705379.html,Direct profile data from Eventective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
Event planners,Midwest,"""a little DAB'll do ya!""",https://alittledablldoya.weebly.com/,,3176475115,Principal Planner,https://www.eventective.com/indianapolis-in/-a-little-dab-ll-do-ya--705379.html,Direct profile data from Eventective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
Event planners,Midwest,6 Degrees Event Planning Company,https://www.6devent.com/,,3143690275,Founder,https://www.eventective.com/saint-louis-mo/6-degrees-event-planning-company-557422.html,Direct profile data from Eventective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
Event planners,Midwest,6 Degrees Event Planning Company,https://www.6devent.com/,,3143690275,Event Planner,https://www.eventective.com/saint-louis-mo/6-degrees-event-planning-company-557422.html,Direct profile data from Eventective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
Event planners,Midwest,6 Degrees Event Planning Company,https://www.6devent.com/,,3143690275,Director of Events,https://www.eventective.com/saint-louis-mo/6-degrees-event-planning-company-557422.html,Direct profile data from Eventective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
Event planners,Midwest,6 Degrees Event Planning Company,https://www.6devent.com/,,3143690275,Creative Director,https://www.eventective.com/saint-louis-mo/6-degrees-event-planning-company-557422.html,Direct profile data from Eventective,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Planner,Event Planning Services
