segment,region,company_name,website,email,phone,target_title,source_url,notes,extra_col_1,extra_col_2,extra_col_3,extra_col_4,extra_col_5,extra_col_6,extra_col_7,extra_col_8,extra_col_9,extra_col_10,extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23,extra_col_24,extra_col_25,extra_col_26,extra_col_27,extra_col_28,extra_col_29,extra_col_30,extra_col_31,extra_col_32,extra_col_33,extra_col_34,extra_col_35,extra_col_36,extra_col_37,extra_col_38,extra_col_39,extra_col_40,extra_col_41,business_category,business_type,business_group
Front-office staff at semi-pro sports teams,Midwest,Central Midwest Football League,https://www.gocmfl.com/,,816-372-1960,Owner/President,https://www.gocmfl.com/staff,Email via message link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Midwest,Central Midwest Football League,https://www.gocmfl.com/,,816-372-1960,Front Office Manager,https://www.gocmfl.com/staff,Email via message link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Midwest,Central Midwest Football League,https://www.gocmfl.com/,,816-372-1960,Guest Services Manager,https://www.gocmfl.com/staff,Email via message link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Midwest,Central Midwest Football League,https://www.gocmfl.com/,,816-372-1960,Ticket Operations Manager,https://www.gocmfl.com/staff,Email via message link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Midwest,Central Midwest Football League,https://www.gocmfl.com/,,816-372-1960,Director of Operations,https://www.gocmfl.com/staff,Email via message link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Midwest,Central Midwest Football League,https://www.gocmfl.com/,,816-372-1960,General Manager,https://www.gocmfl.com/staff,Email via message link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Midwest,Central Midwest Football League,https://www.gocmfl.com/,,816-372-1960,Director of Fan Experience,https://www.gocmfl.com/staff,Email via message link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Texas,DeSoto Tarantulas,https://www.hostedsports.com/football/team_stats.asp?league=MPFL&season=2015&selected_team=Tarantulas,,682-622-9039,Front Office Staff,https://www.hostedsports.com/football/team_stats.asp?league=MPFL&season=2015&selected_team=Tarantulas,Contact information found on HostedSports.com.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Texas,DeSoto Tarantulas,https://www.hostedsports.com/football/team_stats.asp?league=MPFL&season=2015&selected_team=Tarantulas,,682-622-9039,Front Office Manager,https://www.hostedsports.com/football/team_stats.asp?league=MPFL&season=2015&selected_team=Tarantulas,Contact information found on HostedSports.com.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
Front-office staff at semi-pro sports teams,Texas,DeSoto Tarantulas,https://www.hostedsports.com/football/team_stats.asp?league=MPFL&season=2015&selected_team=Tarantulas,,682-622-9039,Guest Services Manager,https://www.hostedsports.com/football/team_stats.asp?league=MPFL&season=2015&selected_team=Tarantulas,Contact information found on HostedSports.com.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sports,Football Team,Semi-Pro / Minor League Sports
