segment,region,company_name,website,email,phone,target_title,source_url,notes,extra_col_1,extra_col_2,extra_col_3,extra_col_4,extra_col_5,extra_col_6,extra_col_7,extra_col_8,extra_col_9,extra_col_10,extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23,extra_col_24,extra_col_25,extra_col_26,extra_col_27,extra_col_28,extra_col_29,extra_col_30,extra_col_31,extra_col_32,extra_col_33,extra_col_34,extra_col_35,extra_col_36,extra_col_37,extra_col_38,extra_col_39,extra_col_40,extra_col_41,business_category,business_type,business_group
Event companies,Midwest,AMP Event Group,https://www.amp-events.com/,,(855) 292 2100,Event Planner,https://www.amp-events.com/,Phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,AMP Event Group,https://www.amp-events.com/,,(855) 292 2100,Chief Executive Officer,https://www.amp-events.com/,Phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,AMP Event Group,https://www.amp-events.com/,,(855) 292 2100,Director of Events,https://www.amp-events.com/,Phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,AMP Event Group,https://www.amp-events.com/,,(855) 292 2100,Head of Sales,https://www.amp-events.com/,Phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,AMP Event Group,https://www.amp-events.com/,,(855) 292 2100,Business Development Director,https://www.amp-events.com/,Phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,AMP Event Group,https://www.amp-events.com/,,(855) 292 2100,Managing Director,https://www.amp-events.com/,Phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,AMP Event Group,https://www.amp-events.com/,,(855) 292 2100,Founder,https://www.amp-events.com/,Phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,InnovativEvents Corporate,https://innovativevents.com,,515-208-4330,Event Planner,https://innovativevents.com/,Phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,InnovativEvents Corporate,https://innovativevents.com,,515-208-4330,Chief Executive Officer,https://innovativevents.com/,Phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,InnovativEvents Corporate,https://innovativevents.com,,515-208-4330,Director of Events,https://innovativevents.com/,Phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,InnovativEvents Corporate,https://innovativevents.com,,515-208-4330,Head of Sales,https://innovativevents.com/,Phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,InnovativEvents Corporate,https://innovativevents.com,,515-208-4330,Business Development Director,https://innovativevents.com/,Phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,InnovativEvents Corporate,https://innovativevents.com,,515-208-4330,Managing Director,https://innovativevents.com/,Phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,InnovativEvents Corporate,https://innovativevents.com,,515-208-4330,Founder,https://innovativevents.com/,Phone number found on website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
Event companies,Midwest,Michigan Event Management Company - Event Solutions,https://eventsolutions.com/locations/michigan/,,1.800.366.0603,Event Planner,https://eventsolutions.com/locations/michigan,Phone number found on website. No direct email address.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Company,Event Services Company
