segment,region,company_name,website,email,phone,target_title,source_url,notes,extra_col_1,extra_col_2,extra_col_3,extra_col_4,extra_col_5,extra_col_6,extra_col_7,extra_col_8,extra_col_9,extra_col_10,extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23,extra_col_24,extra_col_25,extra_col_26,extra_col_27,extra_col_28,extra_col_29,extra_col_30,extra_col_31,extra_col_32,extra_col_33,extra_col_34,extra_col_35,extra_col_36,extra_col_37,extra_col_38,extra_col_39,extra_col_40,extra_col_41,business_category,business_type,business_group
Event companies,Midwest,Lo & Co Event Design,https://loandcoeventdesign.com/,,,Event Planner,https://loandcoeventdesign.com/contact,Contact form available on website. No direct email or phone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,Lo & Co Event Design,https://loandcoeventdesign.com/,,,Chief Executive Officer,https://loandcoeventdesign.com/contact,Contact form available on website. No direct email or phone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,Lo & Co Event Design,https://loandcoeventdesign.com/,,,Director of Events,https://loandcoeventdesign.com/contact,Contact form available on website. No direct email or phone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,Lo & Co Event Design,https://loandcoeventdesign.com/,,,Head of Sales,https://loandcoeventdesign.com/contact,Contact form available on website. No direct email or phone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,Lo & Co Event Design,https://loandcoeventdesign.com/,,,Business Development Director,https://loandcoeventdesign.com/contact,Contact form available on website. No direct email or phone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,Lo & Co Event Design,https://loandcoeventdesign.com/,,,Managing Director,https://loandcoeventdesign.com/contact,Contact form available on website. No direct email or phone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Midwest,Lo & Co Event Design,https://loandcoeventdesign.com/,,,Founder,https://loandcoeventdesign.com/contact,Contact form available on website. No direct email or phone.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Texas,NuVista Event Management Services,https://www.designrush.com/agency/profile/nuvista-event-management-services,,,Chief Executive Officer,/home/ubuntu/designrush_event_management_texas.md,Extracted from public website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Texas,NuVista Event Management Services,https://www.designrush.com/agency/profile/nuvista-event-management-services,,,Director of Events,/home/ubuntu/designrush_event_management_texas.md,Extracted from public website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Texas,NuVista Event Management Services,https://www.designrush.com/agency/profile/nuvista-event-management-services,,,Head of Sales,/home/ubuntu/designrush_event_management_texas.md,Extracted from public website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Texas,NuVista Event Management Services,https://www.designrush.com/agency/profile/nuvista-event-management-services,,,Business Development Director,/home/ubuntu/designrush_event_management_texas.md,Extracted from public website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
Event companies,Texas,NuVista Event Management Services,https://www.designrush.com/agency/profile/nuvista-event-management-services,,,Managing Director,/home/ubuntu/designrush_event_management_texas.md,Extracted from public website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Events,Event Production / Event Agency,Event Services Company
